53;524_1958_46x38Pervenches_PC;1958_46x38Pervenches_524.jpeg;524;1958;46X38;Pervenches;paul;;
54;;1958_65x50LeBreuil624.jpeg;624;1958;65X50;Le Breuil;;;
55;001_1959_73X54_Village-11bis;001_1959_73X54_Village-11bis.jpeg;1;1959;73X34;Village;paul;;
56;003_1959_65X50_Village-9bis;003_1959_65X50_Village-9bis.jpeg;3;1959;65X50;Village;paul;box;
57;055_1959_100X73_Les-Bles;1959_100x73LesBles_055as.jpeg;55;1959;100X7;Les Blés;?;;
58;067_1959_65X50_La-chicorée_Coll-S-Kaminka;1959_65x50Chicoree067as.jpeg;67;1959;65X50;La chicorée;sam;;
59;;1959_65x50Primevere443.jpeg;443;1959;65X50;Primevere;;;
60;474_1959_65X50_Village_7_PC;1959_65x50Village7_474.jpeg;474;1959;65X50;Village;paul;box;
61;477_1959_65X50_Village-Rose_PC;1959_65x50VillagRose477.jpeg;477;1959;65X50;Village Rose;paul;box;
62;;1959_62x44Autoportrait_481.jpeg;481;1959;62X44;Autoportrait Blés;;;
63;494_1959_73x54LePavillon_PC;1959_73x54LePavillon_494.jpeg;494;1959;73X54;Le pavillon;paul;;
64;;1959_65x50Roso&Sabl589coll_M_Fabre.jpeg;589;1959;65X50;Roso&Sabl;;;
65;;1959_65x50Roso&Sabl595coll_H_Chabas.jpeg;595;1959;65X50;Roso&Sabl;;;
66;;1959_65x50pissenlits601coll_C_Honorat.jpeg;601;1959;65X50;Pissenlits;;;
67;;1959_73x54Villag11b_001bis_as.jpeg;1 Bis;1959;73X54;Village;;;
68;002_1960_73X60_Village-10bis;002_1960_73X60_Village-10bis.jpeg;2;1960;73X60;Village;paul;box;
69;004_1960_65X50_Bourgogne-4_numéro ?;004_1960_65X50_Bourgogne-4.jpeg;4;1960;65X50;Bourgogne;;;
70;;1960_65x50roseaux_20_H_cliche_paul.jpeg;20;1960;65X50;Roseaux;;;
71;050_1960_65X50_Roseaux-4_Coll-P-Coupille;1960_65x50Roseaux4_050as.jpeg;50;1960;65X50;Roseaux;paul;;
72;051_1960_65X50_Les-poires_Coll-S-Kaminka;1960_65x50LesPoires051as.jpeg;51;1960;65X50;Les poires;sam;;
